"","Age","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","Gender"
"330",33,"Germany",NA,"Yes","Yes","Yes","Rarely","1-5","No","No","No","No","No","No","Don't know","Somewhat difficult","Yes","Yes","No","No","Maybe","No","Yes","Yes","Male"
"331",24,"United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Yes","Yes","Very easy","No","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"332",25,"Canada",NA,"No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","No","Male"
"333",31,"United States","OH","No","No","No","Never","100-500","No","No","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","No","No","No","Yes","No","No","Male"
"334",45,"Ireland",NA,"Yes","No","Yes","Often","1-5","No","Yes","No","No","No","No","Don't know","Very difficult","No","No","No","No","No","No","Don't know","No","Male"
"335",29,"Romania",NA,"No","No","No","Never","6-25","Yes","No","No","Yes","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","No","No","Male"
"336",46,"United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"337",30,"United Kingdom",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No","Male"
"338",29,"United States","CA","Yes","No","No","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Don't know","Very easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Female"
"339",24,"United States","MA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No","Male"
"340",29,"United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"341",35,"United States","MI","No","No","No","Never","26-100","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","No","No","Male"
"342",33,"United States","WA","No","Yes","No","Sometimes","26-100","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No","Female"
"343",27,"United States","CA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","Yes","No","No","No","No","Maybe","No","No","Male"
"344",36,"United States","IA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"345",33,"United Kingdom",NA,"No","No","No","Rarely","1-5","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","No","No","Male"
"346",25,"United States","WA","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","Female"
"347",23,"United States","AL","No","Yes","Yes","Sometimes","100-500","No","No","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No","Male"
"348",54,"United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Don't know","No","Yes","Yes","Don't know","Don't know","No","No","No","Yes","No","No","Don't know","No","Male"
"349",22,"United States","CA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Male"
"350",25,"United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Yes","No","Non-M/F"
"351",29,"Belgium",NA,"No","No","No","Often","6-25","No","No","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","Maybe","Maybe","Don't know","No","Male"
"352",27,"United States","MA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","No","No","No","Yes","Yes","No","Male"
"353",30,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"354",26,"United States","CA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","Male"
"355",25,"Sweden",NA,"No","Yes","No","Sometimes","6-25","No","Yes","Yes","Yes","Yes","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","No","No","Female"
"356",31,"United States","CA","No","No","Yes","Sometimes","500-1000","No","No","No","Yes","No","Don't know","Yes","Don't know","No","No","Some of them","No","No","No","No","No","Male"
"357",33,"United States","IN","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"358",34,"United States","WA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Yes","Don't know","Maybe","Maybe","No","No","No","No","Don't know","No","Male"
"359",34,"United States","WA","No","No","Yes","Sometimes","100-500","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","Some of them","No","Maybe","Don't know","No","Male"
"360",29,"United States","IN","Yes","No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"361",33,"United States","WA","No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Female"
"362",34,"Germany",NA,"Yes","Yes","Yes","Rarely","26-100","Yes","Yes","No","No","No","Don't know","Don't know","Somewhat difficult","No","No","Yes","Yes","No","Maybe","Yes","No","Male"
"363",26,"United States","OK","Yes","Yes","Yes","Rarely","100-500","Yes","No","No","No","No","Don't know","No","Don't know","Maybe","No","Some of them","Yes","No","Yes","No","No","Male"
"364",32,"United States","MI","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Yes","Yes","No","Male"
"366",28,"United States","GA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","No","No","No","Male"
"367",35,"United States","CA","No","Yes","No","Never","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"368",36,"United States",NA,"No","Yes","Yes","Often","100-500","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Some of them","Some of them","No","No","Don't know","No","Male"
"369",21,"United States","IN","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","No","No","Don't know","Yes","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No","Male"
"370",21,"United Kingdom",NA,"No","No","Yes","Sometimes","6-25","No","No","Don't know","Not sure","No","No","No","Very easy","Yes","No","Some of them","No","No","Maybe","No","No","Male"
"371",22,"United States","WA","No","No","No","Never","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat easy","No","No","No","Some of them","No","No","Yes","No","Female"
"372",41,"United States","WA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Somewhat difficult","Maybe","No","Yes","Some of them","No","Maybe","No","Yes","Male"
"373",55,"United States","PA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No","Male"
"374",32,"United States","WA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Maybe","Yes","No","Female"
"375",21,"United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","Don't know","No","Don't know","Somewhat easy","Yes","No","Some of them","No","No","Yes","Don't know","No","Female"
"376",45,"United States","MA","No","No","Yes","Never","26-100","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No","Male"
"377",27,"United States","WA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","Maybe","No","No","No","No","No","No","Female"
"378",25,"United States","WA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Yes","No","Female"
"379",34,"United States","NY","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very difficult","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No","Female"
"380",26,"United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No","Female"
"381",41,"Canada",NA,"No","No","Yes","Never","500-1000","No","Yes","Yes","Not sure","No","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No","Male"
"382",27,"United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"383",31,"United States","IN","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No","Male"
"384",25,"Germany",NA,"No","Yes","Yes","Often","26-100","Yes","Yes","No","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","Yes","No","No","Male"
"385",26,"United States","NV","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","No","No","Male"
"386",27,"United States","CO","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","Maybe","No","Yes","No","No","Don't know","No","Female"
"387",42,"New Zealand",NA,"No","No","No","Never","500-1000","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"388",29,"United States","CA","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","Yes","Yes","No","No","Don't know","Very difficult","Yes","No","Some of them","No","No","Maybe","No","No","Non-M/F"
"389",25,"United States","CA","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","Don't know","No","Female"
"390",33,"Sweden",NA,"No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","No","No","Yes","Don't know","No","Female"
"392",40,"United States","PA","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","No","Don't know","Don't know","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Don't know","No","Female"
"393",31,"United States","SC","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","Don't know","No","Male"
"394",26,"Canada",NA,"No","Yes","Yes","Often","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","No","No","Yes","No","Male"
"395",24,"United States","TX","No","Yes","No","Never","500-1000","No","No","No","No","No","No","No","Very difficult","Yes","Maybe","No","No","No","Maybe","No","Yes","Female"
"396",29,"United States","TX","No","No","No","Never","More than 1000","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"397",48,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","No","No","No","Male"
"398",35,"United Kingdom",NA,"No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Yes","No","Maybe","No","Yes","Male"
"399",32,"United States","AL","No","No","No","Never","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No","Female"
"400",29,"Canada",NA,"No","No","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"401",26,"United States","OR","No","Yes","Yes","Often","6-25","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","No","No","Male"
"402",28,"United States","NJ","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No","Male"
"403",23,"United States","CA","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","No","No","Male"
"404",35,"United States","CA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","Yes","Male"
"405",29,"Germany",NA,"No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Very easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"406",26,"United States","CA","No","Yes","No","Never","6-25","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","No","No","Male"
"407",33,"United States","NH","No","Yes","Yes","Never","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Yes","Some of them","No","No","Yes","No","Male"
"408",33,"United States","CA","No","No","No","Never","More than 1000","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Yes","No","Male"
"409",22,"Brazil",NA,"Yes","No","No","Never","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","No","Don't know","No","Male"
"410",30,"Spain",NA,"No","Yes","No","Never","500-1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No","Female"
"411",33,"United States","OH","No","Yes","Yes","Often","More than 1000","Yes","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Yes","No","No","No","No","No","No","No","Male"
"412",31,"United States","OH","No","Yes","Yes","Rarely","More than 1000","No","No","Don't know","Not sure","No","Don't know","Don't know","Very difficult","Yes","Maybe","No","No","No","Maybe","No","No","Female"
"413",21,"United States","MA","No","Yes","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","Yes","Male"
"414",31,"United Kingdom",NA,"No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","Yes","Yes","No","Non-M/F"
"415",26,"United States","OK","No","No","Yes","Sometimes","100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat difficult","No","No","Some of them","Some of them","No","No","Yes","No","Female"
"416",30,"United States","CA","No","Yes","No","Often","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"417",30,"Germany",NA,"No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","No","No","Non-M/F"
"418",23,"India",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No","Male"
"419",34,"Finland",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","Maybe","Don't know","No","Male"
"420",55,"United States","ID","No","Yes","Yes","Sometimes","1-5","Yes","Yes","No","Yes","No","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","No","No","Yes","Male"
"421",28,"Germany",NA,"No","Yes","Yes","Rarely","1-5","Yes","Yes","Yes","No","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No","Male"
"422",26,"Uruguay",NA,"No","No","No","Never","26-100","Yes","Yes","Don't know","No","Don't know","No","Don't know","Don't know","No","No","Some of them","No","No","Yes","Don't know","No","Male"
"423",28,"New Zealand",NA,"No","Yes","Yes","Sometimes","6-25","Yes","Yes","Yes","Yes","Yes","No","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No","Male"
"424",32,"United Kingdom",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","No","No","No","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"425",28,"United States","NY","No","No","Yes","Rarely","More than 1000","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No","Female"
"426",21,"United States","CA","No","No","No","Sometimes","6-25","No","No","Don't know","Not sure","No","Yes","Yes","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No","Male"
"427",24,"United States","TX","No","Yes","Yes","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","Some of them","No","Maybe","No","Yes","Male"
"428",26,"United States","MD","No","No","No","Never","More than 1000","No","No","Yes","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","Female"
"429",23,"United States","IN","No","No","No","Never","More than 1000","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Yes","No","No","Yes","Don't know","No","Male"
"430",24,"United States","OR","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","Yes","Yes","Yes","No","Female"
"431",28,"Canada",NA,"Yes","No","No","Never","100-500","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No","Male"
"432",24,"United States","NY","No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","Some of them","No","Yes","Yes","No","Female"
"433",33,"United States","MS","Yes","No","Yes","Often","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat easy","Yes","Maybe","Some of them","Some of them","Yes","Yes","Don't know","No","Male"
"434",34,"United States","NJ","No","No","No","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","No","Maybe","Don't know","No","Male"
"435",27,"United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Female"
"436",28,"United States","TN","No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"437",26,"United States","WA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","Yes","Male"
"438",20,"Australia",NA,"No","No","No","Never","100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"439",23,"United States","MA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Female"
"440",29,"United States","PA","No","Yes","Yes","Rarely","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"441",26,"United Kingdom",NA,"No","Yes","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","Maybe","No","No","Male"
"442",36,"United States","KY","No","No","No","Rarely","More than 1000","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat easy","Maybe","No","No","No","No","No","Don't know","No","Male"
"443",41,"United States","PA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","Yes","Male"
"444",33,"United States","MA","No","No","No","Never","100-500","Yes","Yes","Yes","No","Don't know","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Yes","No","Female"
"445",23,"Canada",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No","Male"
"446",39,"United States","CA","No","Yes","No","Often","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","Yes","Male"
"447",34,"United States","VT","No","Yes","No","Never","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes","Male"
"448",26,"United States","CA","No","No","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","Some of them","No","No","No","Yes","Female"
"449",24,"United States","AZ","No","No","Yes","Rarely","26-100","No","Yes","Yes","Yes","Yes","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"450",37,"Canada",NA,"No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"451",43,"United States","MA","Yes","Yes","Yes","Often","6-25","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"452",40,"United States","VA","No","Yes","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Don't know","Yes","Don't know","Yes","Maybe","No","Some of them","No","Maybe","Yes","No","Non-M/F"
"453",30,"United States","WA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","No","Don't know","Very difficult","Yes","No","Some of them","No","No","No","No","Yes","Male"
"454",34,"United States","CA","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","Don't know","No","Male"
"455",27,"United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Yes","Don't know","No","Male"
"456",36,"United States","MI","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","Don't know","No","Male"
"457",27,"Brazil",NA,"No","No","No","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No","Male"
"458",35,"Netherlands",NA,"No","Yes","No","Never","100-500","No","Yes","Yes","No","No","No","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No","Male"
"459",32,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Yes","Yes","No","Male"
"460",37,"United States","OR","No","No","No","Never","500-1000","No","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"461",29,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"462",33,"United States","CA","No","No","No","Never","500-1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Very easy","Maybe","No","Some of them","Yes","No","No","Yes","No","Female"
"463",28,"United States","UT","No","No","No","Sometimes","6-25","Yes","Yes","No","Yes","No","No","Don't know","Somewhat easy","Yes","Maybe","Some of them","No","No","No","Don't know","No","Male"
"464",26,"United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","No","No","Maybe","No","No","Female"
"465",27,"United States","TX","No","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","Yes","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"466",38,"United Kingdom",NA,"Yes","No","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Yes","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No","Male"
"467",57,"United States","CA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No","Male"
"468",28,"United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","Yes","No","No","No","No","No","Very difficult","Yes","Maybe","No","Some of them","No","Maybe","No","No","Male"
"469",26,"France",NA,"No","No","No","Never","6-25","No","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","Maybe","Maybe","No","No","Male"
"470",42,"Netherlands",NA,"No","No","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No","Female"
"471",31,"United States","OR","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No","Male"
"472",58,"United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Yes","No","Male"
"473",29,"United States","OH","No","No","No","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Very difficult","Yes","No","No","No","No","Maybe","No","No","Male"
"474",39,"United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","Yes","Female"
"475",34,"United States","OH","No","No","No","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"476",57,"United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","Maybe","No","No","No","Maybe","Don't know","No","Male"
"477",27,"Germany",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","No","No","No","No","Yes","Male"
"478",23,"Germany",NA,"Yes","Yes","Yes","Often","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","Maybe","Yes","Yes","Maybe","Yes","Don't know","No","Male"
"479",18,"Finland",NA,"No","No","No","Never","500-1000","Yes","No","Don't know","No","No","Don't know","Don't know","Very easy","Yes","No","No","No","No","Maybe","Don't know","No","Male"
"480",30,"United States","NY","No","No","No","Never","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No","Female"
"481",23,"United States","VA","No","No","No","Never","26-100","No","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No","Male"
"482",43,"United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Maybe","No","No","No","Yes","Don't know","No","Male"
